Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
FAM246C		ENSG00000286025	"Family with sequence similarity 246 member C (gene/pseudogene)"		22	19029524-19031242	"Predicted intracellular proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"Tissue enhanced"	"Detected in some"		"brain: 1.6;liver: 1.0;retina: 1.1;testis: 1.0"	"Cell type enriched"	"Detected in single"	12	"Horizontal cells: 1.3"									"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in some"																			NA	NA					"Cluster 10: Cerebellum - Nucleic acid binding"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 71: Horizontal & Bipolar cells - Neuronal signaling"																																			
FAM43B	FLJ44952	ENSG00000183114	"Family with sequence similarity 43 member B"	Q6ZT52	1	20552573-20555020	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"adrenal gland: 20.4;brain: 13.9"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 4.3;Excitatory neurons: 2.5;Fibroblasts: 4.2;Horizontal cells: 3.8;Inhibitory neurons: 7.2"	"Low cell type specificity"	"Detected in many"			"Cancer enhanced"	"Detected in some"		"Glioblastoma Multiforme (TCGA): 7.0"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Adrenocortical cancer: 3.8;Bone cancer: 3.3;Rhabdoid: 3.5"	"Lung - Fibroblast_2"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA050813	Approved		Approved	Cytosol			NA	NA				"Cluster 54: Non-specific - Basic cellular processes"	"Cluster 45: Non-specific - Mixed function"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 53: Fibroblasts - ECM organization"		Cytosol		"HPA050813: AB_2681244"			"unprognostic (3.10e-3)"				"unprognostic (1.35e-2)"	"unprognostic (6.87e-2)"														"unprognostic (7.34e-3)"							"unprognostic (1.79e-2)"		"unprognostic (7.26e-2)"
FAM72B	RP11-439A17.6	ENSG00000188610	"Family with sequence similarity 72 member B"	Q86X60	1	121167646-121185539	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"bone marrow: 6.1;lymphoid tissue: 10.0"	"Cell type enhanced"	"Detected in some"		"Early spermatids: 16.0;Erythroid cells: 6.0;Spermatocytes: 13.6"	"Cell type enhanced"	"Detected in single"		"central nervous system macrophage: 1.8"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Adrenal gland - Mitotic cells (Adrenal gland), Minor Salivary Gland - Mitotic cells (Minor salivary gland), Spleen - Mitotic cells (Spleen), Stomach - Mitotic cells (Stomach)"									"HPA043271, HPA067321"	Uncertain		Approved	"Vesicles,Plasma membrane,Cytosol"			NA	Yes				"Cluster 67: Lymphoid tissue & Bone marrow - Cell proliferation"	"Cluster 25: Non-specific - Transcription"	"Cluster 22: Non-specific - mRNA splicing & Cell cycle"	"Cluster 70: Spermatocytes & Spermatids - Spermatid development"		Vesicles	"Plasma membrane, Cytosol"	"HPA043271: AB_2678402, HPA067321: "	"unprognostic (4.68e-3)"	"unprognostic (4.54e-2)"	"unprognostic (4.15e-1)"	"unprognostic (1.63e-3)"	"unprognostic (6.16e-3)"	"unprognostic (1.51e-2)"	"unprognostic (4.47e-1)"	"unprognostic (1.94e-2)"	"unprognostic (2.29e-1)"			"potential prognostic unfavorable (4.63e-5)"		"potential prognostic unfavorable (2.93e-6)"		"validated prognostic unfavorable (1.34e-5)"	"validated prognostic unfavorable (5.80e-4)"	"unprognostic (1.50e-2)"	"unprognostic (1.95e-1)"	"unprognostic (3.19e-1)"	"unprognostic (6.31e-2)"	"unprognostic (2.92e-3)"	"potential prognostic unfavorable (5.98e-5)"		"unprognostic (1.62e-1)"	"unprognostic (8.36e-2)"	"unprognostic (1.62e-1)"	"unprognostic (5.53e-2)"	"unprognostic (4.44e-1)"		"unprognostic (6.09e-2)"
FAM72C	RP5-998N21.9	ENSG00000263513	"Family with sequence similarity 72 member C"	H0Y354	1	143955287-143971986	"Predicted intracellular proteins"				"Evidence at transcript level"	"Evidence at transcript level"	"No human protein/transcript evidence"	"Evidence at transcript level"	"Tissue enhanced"	"Detected in some"		"bone marrow: 2.8;lymphoid tissue: 5.1"	"Cell type enhanced"	"Detected in some"		"Early spermatids: 3.2;Erythroid cells: 2.6;Extravillous trophoblasts: 4.2;Oocytes: 2.2;Spermatocytes: 7.5;Spermatogonia: 2.8"					"Low cancer specificity"	"Detected in many"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Stomach - Mitotic cells (Stomach)"									"HPA043271, HPA067321"	Uncertain		Approved	"Vesicles,Plasma membrane,Cytosol"			NA	Yes				"Cluster 67: Lymphoid tissue & Bone marrow - Cell proliferation"		"Cluster 45: Non-specific - Nuclear processes"	"Cluster 52: Non-specific - Cell proliferation"		Vesicles	"Plasma membrane, Cytosol"	"HPA043271: AB_2678402, HPA067321: "	"unprognostic (1.43e-2)"	"unprognostic (2.19e-1)"		"unprognostic (9.67e-3)"	"unprognostic (3.02e-2)"	"unprognostic (1.76e-1)"	"unprognostic (2.19e-1)"		"unprognostic (1.54e-3)"					"potential prognostic unfavorable (1.33e-5)"		"potential prognostic unfavorable (7.12e-6)"	"unprognostic (4.94e-3)"	"unprognostic (4.42e-2)"	"unprognostic (3.41e-1)"	"unprognostic (1.22e-1)"		"unprognostic (2.13e-2)"				"unprognostic (1.74e-1)"	"unprognostic (1.30e-1)"	"unprognostic (1.21e-1)"	"unprognostic (2.66e-1)"		"unprognostic (2.89e-2)"
FAM72D		ENSG00000215784	"Family with sequence similarity 72 member D"	Q6L9T8	1	145095974-145112696	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"bone marrow: 3.9;lymphoid tissue: 6.5"	"Cell type enhanced"	"Detected in some"		"Early spermatids: 8.9;Erythroid cells: 8.9;Extravillous trophoblasts: 5.0;Oocytes: 9.6;Spermatocytes: 12.0"					"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Minor Salivary Gland - Mitotic cells (Minor salivary gland), Spleen - Mitotic cells (Spleen), Stomach - Mitotic cells (Stomach)"									"HPA043271, HPA067321"	Uncertain		Approved	"Vesicles,Plasma membrane,Cytosol"			NA	NA				"Cluster 67: Lymphoid tissue & Bone marrow - Cell proliferation"	"Cluster 41: Monoamines - Neurotransmitter signalling"	"Cluster 45: Non-specific - Nuclear processes"	"Cluster 52: Non-specific - Cell proliferation"	3	Vesicles	"Plasma membrane, Cytosol"	"HPA043271: AB_2678402, HPA067321: "	"unprognostic (4.49e-3)"	"unprognostic (1.04e-2)"	"unprognostic (2.48e-1)"	"unprognostic (2.61e-2)"	"unprognostic (1.19e-1)"	"unprognostic (2.12e-2)"	"unprognostic (9.01e-2)"	"unprognostic (1.35e-1)"	"unprognostic (3.26e-2)"					"potential prognostic unfavorable (6.76e-6)"		"validated prognostic unfavorable (1.62e-5)"	"validated prognostic unfavorable (2.04e-5)"	"unprognostic (4.17e-2)"	"unprognostic (3.26e-1)"	"unprognostic (4.34e-2)"	"unprognostic (6.93e-2)"	"unprognostic (1.32e-3)"	"unprognostic (1.74e-2)"		"unprognostic (3.11e-1)"	"unprognostic (4.23e-3)"	"unprognostic (4.27e-2)"	"unprognostic (1.56e-1)"	"unprognostic (6.91e-2)"		"unprognostic (6.02e-3)"
FAT3	"CDHF15, CDHR10, KIAA1989"	ENSG00000165323	"FAT atypical cadherin 3"	Q8TDW7	11	92224818-92896473	"Predicted membrane proteins"	"Cell adhesion"	"Developmental protein"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 13.4"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 252.0;Excitatory neurons: 496.5;Inhibitory neurons: 142.1;Oligodendrocyte precursor cells: 83.0"	"Cell type enhanced"	"Detected in all"		"mammillary body: 2248.0"	"Cancer enriched"	"Detected in single"	8	"Glioblastoma Multiforme (TCGA): 5.3"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Adipose subcutaneous - Smooth muscle cells, Adrenal gland - Smooth muscle cells, Heart muscle - Smooth muscle cells, Kidney - Fibroblasts, Liver - Hepatic stellate cells, Minor Salivary Gland - Minor salivary gland ductal cells, Prostate - Smooth muscle cells, Spleen - Smooth muscle cells, Thyroid gland - Smooth muscle cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA026878, HPA074824"	Uncertain		Approved	"Cell Junctions"			NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 33: Neurons - Mixed function"	"Cluster 24: Non-specific - Unknown function"	"Cluster 34: Neurons - Neuronal signaling"	1	"Cell Junctions"		"HPA026878: AB_1848430, HPA074824: "			"unprognostic (7.95e-2)"				"unprognostic (1.27e-1)"	"unprognostic (5.48e-2)"															"unprognostic (2.08e-3)"								
FBLL1	LOC345630	ENSG00000188573	"Fibrillarin like 1"	A6NHQ2	5	168529305-168530634	"Predicted intracellular proteins"	"rRNA processing"	"Methyltransferase, Ribonucleoprotein, RNA-binding, Transferase"		"Evidence at protein level"	"Evidence at protein level"	"No human protein/transcript evidence"	"Evidence at protein level"	"Group enriched"	"Detected in some"	4	"brain: 35.3;pituitary gland: 15.1"	"Cell type enhanced"	"Detected in some"		"Bipolar cells: 7.1;Excitatory neurons: 4.2;Horizontal cells: 13.8;Inhibitory neurons: 6.3"	"Low cell type specificity"	"Detected in many"			"Cancer enhanced"	"Detected in many"		"Glioblastoma Multiforme (TCGA): 9.3"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in many"	7	"Neuroblastoma: 23.6"	"Colon - Colon enteroendocrine cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA049546, HPA077724"	Uncertain		Supported	"Nucleoplasm,Nucleoli fibrillar center"			NA	NA				"Cluster 22: Brain - Synaptic signal transduction"	"Cluster 1: Neurons - Mixed function"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 71: Horizontal & Bipolar cells - Neuronal signaling"		"Nucleoli fibrillar center"	Nucleoplasm	"HPA049546: AB_2680811, HPA077724: "	"unprognostic (3.02e-2)"	"unprognostic (9.16e-3)"	"unprognostic (1.39e-3)"				"unprognostic (1.58e-1)"	"unprognostic (1.21e-2)"					"unprognostic (1.08e-1)"	"unprognostic (1.55e-2)"	"unprognostic (3.13e-2)"							"unprognostic (1.61e-3)"		"unprognostic (3.78e-2)"			"unprognostic (1.89e-1)"		"unprognostic (1.41e-1)"	"unprognostic (7.07e-2)"	"unprognostic (1.61e-1)"
FBXO15	"FBX15, MGC39671"	ENSG00000141665	"F-box protein 15"	Q8NCQ5	18	74073353-74147843	"Predicted intracellular proteins"	"Ubl conjugation pathway"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"fallopian tube: 3.9;testis: 6.9"	"Cell type enhanced"	"Detected in many"		"Ciliated cells: 51.0;Early spermatids: 38.2;Late spermatids: 19.3;Oligodendrocytes: 17.9;Oocytes: 22.8;Spermatocytes: 37.7"	"Cell type enriched"	"Detected in all"	7	"ependymal cell: 237.3"	"Cancer enhanced"	"Detected in some"		"Uterine Corpus Endometrial Carcinoma (TCGA): 2.7"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in single"		"naive CD4 T-cell: 1.6"	"Lineage enriched"	"Detected in single"	6	"T-cells: 1.6"	"Not detected"	"Not detected"			"Lung - Respiratory ciliated cells, Testis - Early spermatids"	"Not detected"	"Not detected"			"Region enriched"	"Detected in all"	6	"basal ganglia: 23.3"								NA	NA			"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 46: Brainstem - Mixed function"	"Cluster 70: DU4475 - Unknown function"	"Cluster 42: Ciliated cells - Cilium assembly"	4						"unprognostic (7.36e-2)"					"unprognostic (6.97e-2)"				"potential prognostic favorable (3.04e-4)"	"unprognostic (1.54e-2)"							"unprognostic (2.19e-1)"	"unprognostic (1.05e-1)"		"unprognostic (1.10e-2)"								"unprognostic (1.17e-1)"
FBXW10	"C17orf1, C17orf1A, Fbw10, HREP, SM2SH2"	ENSG00000171931	"F-box and WD repeat domain containing 10"	Q5XX13	17	18744026-18779349	"Predicted intracellular proteins"	"Ubl conjugation pathway"			"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	7	"testis: 9.5"	"Cell type enhanced"	"Detected in some"		"Early spermatids: 39.9;Late spermatids: 18.3;Spermatocytes: 8.0"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in some"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Gallbladder cancer: 3.7;liver cancer: 1.6"	"Lung - Respiratory ciliated cells, Testis - Early spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA047457			Approved	Nucleoplasm			NA	NA				"Cluster 78: Testis - Transcription"	"Cluster 46: Brainstem - Mixed function"	"Cluster 7: Liver cancer - Metabolism"	"Cluster 11: Late spermatids - Unknown function"	1	Nucleoplasm		"HPA047457: "			"unprognostic (3.01e-2)"												"unprognostic (1.44e-2)"																
FCER2	"CD23, CD23A, CLEC4J, FCE2, FcepsilonRII, FCErII"	ENSG00000104921	"Fc epsilon receptor II"	P06734	19	7688758-7702146	"Cancer-related genes, CD markers, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"		"IgE-binding protein, Receptor"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	4	"lymphoid tissue: 41.0"	"Cell type enriched"	"Detected in some"	16	"B-cells: 141.6"	"Cell type enriched"	"Detected in single"	5	"leukocyte: 2.7"	"Cancer enhanced"	"Detected in many"		"Pancreatic Adenocarcinoma (TCGA): 4.5"	"Region enhanced"	"Detected in single"		"cerebral cortex: 2.8"	"Group enriched"	"Detected in many"	24	"memory B-cell: 201.7;naive B-cell: 497.3"	"Lineage enriched"	"Detected in many"	34	"B-cells: 497.3"	"Group enriched"	"Detected in some"	16	"Leukemia: 49.4;lymphoma: 34.1;Myeloma: 41.1"	"Spleen - B-cells (Spleen)"	"Low region specificity"	"Detected in single"			"Not detected"	"Not detected"			"CAB002624, HPA008928, HPA067430"	Enhanced				"Secreted to blood"	Receptor	NA	NA		3300000	"Cluster 18: Non-specific - Translation"	"Cluster 70: Lymphoid tissue - Immune response"	"Cluster 12: Non-specific - Vasculature"	"Cluster 55: Lymphoma - Immune response"	"Cluster 73: B-cells - B-cell function"	1			"CAB002624: , HPA008928: AB_1846285, HPA067430: "	"unprognostic (2.76e-1)"	"unprognostic (3.12e-3)"	"unprognostic (3.71e-3)"			"unprognostic (2.52e-1)"										"potential prognostic favorable (9.66e-4)"		"unprognostic (1.79e-1)"				"unprognostic (6.24e-2)"						"unprognostic (2.13e-1)"	"unprognostic (1.26e-1)"		
FEV	Pet-1	ENSG00000163497	"FEV transcription factor, ETS family member"	Q99581	2	218981087-218985184	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"adrenal gland: 2.2;intestine: 4.1;pituitary gland: 2.5;prostate: 2.1;stomach 1: 3.1"	"Cell type enriched"	"Detected in some"	70	"Enteroendocrine cells: 532.6"	"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	8	"Pancreatic Adenocarcinoma (TCGA): 6.4;Prostate Adenocarcinoma (TCGA): 16.6;Stomach Adenocarcinoma (TCGA): 5.0"	"Group enriched"	"Detected in many"	7	"midbrain: 153.7;pons: 42.5"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	16	"Neuroblastoma: 40.7"	"Adrenal gland - Adrenal medulla cells, Pancreas - Alpha cells, Pituitary gland - Corticotropes, Prostate - Prostate glandular cells, Stomach - Gastric enteroendocrine cells"	"Region enhanced"	"Detected in single"		"midbrain: 1.9"	"Group enriched"	"Detected in some"	5	"midbrain: 8.3;pons: 4.4"	HPA067679		Supported	Supported	"Nuclear speckles"			NA	NA				"Cluster 45: Intestine - Digestion"	"Cluster 41: Monoamines - Neurotransmitter signalling"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 20: Enteroendocrine cells - Hormone signaling"		"Nuclear speckles"		"HPA067679: AB_2685884"							"unprognostic (2.59e-1)"															"unprognostic (1.46e-3)"		"unprognostic (3.01e-1)"				"unprognostic (1.48e-1)"			
FEZF1	ZNF312B	ENSG00000128610	"FEZ family zinc finger 1"	A0PJY2	7	122301303-122310691	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	"Developmental protein, DNA-binding, Repressor"	"Disease variant, Hypogonadotropic hypogonadism, Kallmann syndrome"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 13.4;pituitary gland: 2.9;testis: 4.4"	"Group enriched"	"Detected in some"	6	"Bipolar cells: 7.2;Spermatocytes: 4.4"	"Cell type enhanced"	"Detected in some"		"amygdala excitatory: 1.4;astrocyte: 1.8;ependymal cell: 1.4;splatter: 1.0"	"Low cancer specificity"	"Detected in many"			"Region enriched"	"Detected in many"	38	"hypothalamus: 270.1"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in many"	8	"Bone cancer: 53.3"	"Testis - Early spermatids"	"Region enriched"	"Detected in some"	11	"hypothalamus: 11.7"	"Region enriched"	"Detected in single"	14	"hypothalamus: 9.6"	"HPA064639, HPA073693"	Approved		Supported	Nucleoplasm,Cytosol			NA	NA				"Cluster 17: Neuronal - Synaptic function"	"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 12: Bone cancer - Neuronal signaling"	"Cluster 70: Spermatocytes & Spermatids - Spermatid development"	6	Nucleoplasm	Cytosol	"HPA064639: AB_2685308, HPA073693: AB_2686626"	"unprognostic (1.59e-1)"			"unprognostic (4.37e-2)"	"unprognostic (1.79e-1)"	"unprognostic (1.58e-3)"	"unprognostic (3.60e-2)"	"potential prognostic unfavorable (3.95e-5)"	"unprognostic (3.36e-1)"							"unprognostic (1.80e-1)"	"unprognostic (6.46e-3)"	"unprognostic (2.24e-3)"	"potential prognostic favorable (2.44e-4)"			"unprognostic (2.44e-1)"	"unprognostic (3.74e-3)"		"unprognostic (2.35e-1)"	"unprognostic (6.66e-3)"		"unprognostic (1.27e-1)"			
FEZF2	"FEZL, FKSG36, FLJ10142, TOF, Zfp312, ZNF312"	ENSG00000153266	"FEZ family zinc finger 2"	Q8TBJ5	3	62369681-62374324	"Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	"Developmental protein, DNA-binding, Repressor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	5	"brain: 27.6"	"Group enriched"	"Detected in some"	4	"Bipolar cells: 39.7;Oocytes: 60.3"	"Cell type enhanced"	"Detected in some"		"deep-layer corticothalamic and 6b: 36.5;deep-layer near-projecting: 53.8;hippocampal CA1-3: 51.6"	"Group enriched"	"Detected in some"	5	"Ovary Serous Cystadenocarcinoma (TCGA): 9.2;Stomach Adenocarcinoma (TCGA): 3.3"	"Group enriched"	"Detected in many"	6	"cerebral cortex: 329.8;hippocampal formation: 114.5"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Breast - Breast glandular cells (progenitors)"	"Low region specificity"	"Detected in many"			"Group enriched"	"Detected in many"	6	"amygdala: 21.4;cerebral cortex: 21.8;hippocampal formation: 38.3"	"HPA047169, HPA072981"			Approved	Nucleoplasm,Vesicles,Centrosome,Cytosol			NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 51: Neurons - Mixed function"	"Cluster 40: Non-specific - Unknown function"	"Cluster 71: Horizontal & Bipolar cells - Neuronal signaling"	1	"Nucleoplasm, Vesicles"	"Centrosome, Cytosol"	"HPA047169: , HPA072981: "						"unprognostic (4.38e-2)"	"unprognostic (3.18e-1)"	"unprognostic (9.47e-2)"												"unprognostic (3.37e-1)"						"unprognostic (5.71e-2)"		"unprognostic (1.05e-2)"			
FFAR1	"FFA1R, GPR40"	ENSG00000126266	"Free fatty acid receptor 1"	O14842	19	35347902-35353864	"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters"		"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	4	"bone marrow: 3.0;brain: 2.3;ovary: 2.4;pancreas: 2.4"	"Group enriched"	"Detected in some"	4	"Enteroendocrine cells: 5.9;Granulosa cells: 4.6;Pancreatic endocrine cells: 6.8"	"Group enriched"	"Detected in some"	11	"committed oligodendrocyte precursor: 2.8;oligodendrocyte: 6.0"	"Cancer enriched"	"Detected in single"	9	"Pancreatic Adenocarcinoma (TCGA): 3.1"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in single"		"basophil: 1.0"	"Lineage enriched"	"Detected in single"	6	"granulocytes: 1.0"	"Cancer enhanced"	"Detected in single"		"lymphoma: 1.3"	"Pancreas - Alpha cells, Pancreas - Beta cells"	"Not detected"	"Not detected"							HPA048933			Supported	"Plasma membrane"			NA	NA				"Cluster 5: Brain & Testis - Signal transduction"	"Cluster 11: White matter - Signal transduction"	"Cluster 46: Lymphoma - Humoral immune response"	"Cluster 20: Enteroendocrine cells - Hormone signaling"		"Plasma membrane"		"HPA048933: "																						"unprognostic (4.73e-2)"									
