Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
SOX1		ENSG00000182968	"SRY-box transcription factor 1"	O00570	13	112067149-112071706	"Cancer-related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	7	"brain: 5.4"	"Group enriched"	"Detected in some"	8	"Melanocytes: 6.9;Oocytes: 2.2;Spermatogonia: 2.7"	"Cell type enriched"	"Detected in single"	5	"bergmann glia: 1.8"	"Cancer enhanced"	"Detected in some"		"Glioblastoma Multiforme (TCGA): 2.6;Skin Cuteneous Melanoma (TCGA): 2.0"	"Region enhanced"	"Detected in all"		"hypothalamus: 32.0"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	10	"Bone cancer: 5.5;lung cancer: 5.5"	"Colon - Enteric glia cells, Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"										NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 67: Spermatogonia - Spermatogenesis"	1										"unprognostic (8.12e-2)"	"unprognostic (1.49e-2)"											"unprognostic (3.69e-1)"						"unprognostic (1.31e-1)"		"unprognostic (8.07e-2)"				
SOX11		ENSG00000176887	"SRY-box transcription factor 11"	P35716	2	5692384-5701385	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Differentiation, Neurogenesis, Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding"	"Disease variant, Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"brain: 2.8"	"Cell type enhanced"	"Detected in some"		"Breast glandular cells: 5.9;Breast myoepithelial cells: 6.9;Cardiomyocytes: 18.8;Fibroblasts: 5.3;Inhibitory neurons: 8.1;Oligodendrocyte precursor cells: 20.3;Pancreatic endocrine cells: 11.9"	"Cell type enhanced"	"Detected in many"		"midbrain-derived inhibitory: 40.2"	"Cancer enhanced"	"Detected in some"		"Glioblastoma Multiforme (TCGA): 13.7"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in many"	4	"Bone cancer: 12.9;Neuroblastoma: 48.4"	"Skeletal muscle - Fibroblasts, Spleen - B-cells (Spleen)"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"HPA000448, HPA000536, CAB056152, CAB056153"	Approved		Supported	"Nucleoplasm,Plasma membrane"			NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 10: Muller glia cells - Visual perception"	1	Nucleoplasm	"Plasma membrane"	"CAB056152: AB_2665567, CAB056153: AB_2665568, HPA000448: , HPA000536: AB_1080060"		"unprognostic (2.81e-2)"	"unprognostic (5.59e-2)"				"unprognostic (2.83e-1)"	"unprognostic (8.61e-3)"			"unprognostic (7.25e-3)"	"unprognostic (1.39e-1)"							"unprognostic (2.28e-2)"	"unprognostic (3.75e-1)"	"unprognostic (1.87e-1)"								"unprognostic (1.70e-1)"		"unprognostic (1.05e-2)"
SP9	ZNF990	ENSG00000217236	"Sp9 transcription factor"	P0CG40	2	174334954-174338500	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at transcript level"	"No human protein/transcript evidence"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	5	"brain: 3.9"	"Cell type enriched"	"Detected in some"	5	"Inhibitory neurons: 10.6"	"Cell type enhanced"	"Detected in some"		"CGE interneuron: 12.0;eccentric medium spiny neuron: 16.9;LAMP5-LHX6 and Chandelier: 31.6;MGE interneuron: 12.3"	"Cancer enhanced"	"Detected in some"		"Uterine Corpus Endometrial Carcinoma (TCGA): 3.4"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Adrenocortical cancer: 3.3;Rhabdoid: 2.6"		"Group enriched"	"Detected in many"	6	"basal ganglia: 5.8;olfactory bulb: 11.7"	"Group enriched"	"Detected in many"	5	"basal ganglia: 9.1;olfactory bulb: 35.1"	HPA062616	Uncertain		Approved	Mitochondria			NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 33: Neurons - Mixed function"	"Cluster 5: Rhabdoid - Unknown function"	"Cluster 65: Neurons - Synaptic function"		Mitochondria		"HPA062616: AB_2684808"				"unprognostic (2.13e-3)"			"unprognostic (3.77e-1)"	"unprognostic (2.82e-1)"																							"unprognostic (1.25e-1)"
STH	MAPTIT	ENSG00000256762	Saitohin	Q8IWL8	17	45999250-45999694	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"brain: 1.1"	"Cell type enhanced"	"Detected in some"		"Bipolar cells: 3.0;Cone photoreceptor cells: 1.7"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"												HPA069024			Supported	"Nucleoplasm,Golgi apparatus,Cytosol"			NA	NA				"Cluster 28: Neuronal - Transcription"	"Cluster 4: Non-specific - mRNA splicing & Cell cycle"	"Cluster 12: Bone cancer - Neuronal signaling"	"Cluster 25: Bipolar cells - Visual perception"	17	"Nucleoplasm, Golgi apparatus"	Cytosol	"HPA069024: "			"unprognostic (2.13e-1)"					"potential prognostic favorable (2.51e-4)"																							
TBR1		ENSG00000136535	"T-box brain transcription factor 1"	Q16650	2	161416297-161425870	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding	"Autism spectrum disorder, Disease variant, Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	39	"brain: 32.9"	"Cell type enriched"	"Detected in some"	4	"Late spermatids: 63.8"	"Cell type enhanced"	"Detected in some"		"deep-layer corticothalamic and 6b: 28.2;deep-layer intratelencephalic: 19.8"	"Group enriched"	"Detected in some"	5	"Glioblastoma Multiforme (TCGA): 1.1;Testicular Germ Cell Tumor (TCGA): 1.4"	"Region enhanced"	"Detected in many"		"cerebral cortex: 105.0"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Brain cancer: 2.9;Rhabdoid: 2.3"	"Testis - Late spermatids"	"Group enriched"	"Detected in many"	6	"amygdala: 44.6;basal ganglia: 28.3;cerebral cortex: 70.9;hippocampal formation: 45.7;white matter: 43.9"	"Region enhanced"	"Detected in many"		"cerebral cortex: 87.1"	"HPA051256, HPA078644, HPA078657"	Enhanced	Supported					NA	NA				"Cluster 61: Brain - Neuronal signaling"	"Cluster 53: Neurons - Mixed function"	"Cluster 1: Neuronal - Visual perception"	"Cluster 10: Muller glia cells - Visual perception"	8			"HPA051256: , HPA078644: AB_2732387, HPA078657: AB_2732388"							"unprognostic (7.88e-3)"	"unprognostic (2.95e-1)"																					"unprognostic (2.47e-1)"		
TLX3	"HOX11L2, RNX"	ENSG00000164438	"T cell leukemia homeobox 3"	O43711	5	171309248-171312139	"Cancer-related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"		"Developmental protein, DNA-binding"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	77	"brain: 24.8"	"Group enriched"	"Detected in some"	20	"Extravillous trophoblasts: 9.0;Oocytes: 8.8"	"Cell type enriched"	"Detected in some"	4	"upper rhombic lip: 11.1"	"Cancer enhanced"	"Detected in some"		"Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA): 2.8"	"Group enriched"	"Detected in some"	5	"cerebellum: 18.6;medulla oblongata: 5.0;spinal cord: 11.1"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"Neuroblastoma: 8.4"	"Pituitary gland - Thyrotropes"	"Region enriched"	"Detected in single"	7	"cerebellum: 2.2"	"Region enriched"	"Detected in some"	9	"cerebellum: 16.8"	"HPA030504, HPA060957, HPA069359"	Enhanced		Enhanced	Nucleoplasm			NA	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 35: Non-specific - DNA binding"	"Cluster 59: Leukemia - T-cell receptor"	"Cluster 4: Extravillous trophoblasts - Unknown function"	76	Nucleoplasm		"HPA030504: AB_2732458, HPA060957: AB_2732655, HPA069359: AB_2732130"	"unprognostic (2.95e-1)"			"unprognostic (2.75e-2)"					"unprognostic (4.87e-2)"									"unprognostic (3.20e-1)"													"unprognostic (4.21e-2)"
TMEM132D	"KIAA1944, MOLT, PPP1R153"	ENSG00000151952	"Transmembrane protein 132D"	Q14C87	12	129071725-129904025	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	9	"brain: 7.1"	"Group enriched"	"Detected in some"	60	"Excitatory neurons: 433.7;Inhibitory neurons: 498.9;Oligodendrocyte precursor cells: 537.7"	"Cell type enhanced"	"Detected in all"		"LAMP5-LHX6 and Chandelier: 1349.3"	"Cancer enhanced"	"Detected in some"		"Thyroid Carcinoma (TCGA): 1.4"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"thyroid cancer: 1.8"	"Pancreas - Alpha cells, Pancreas - Beta cells, Prostate - Prostate glandular cells, Spleen - Neutrophils, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA010739	Approved						NA	NA		170000		"Cluster 61: Brain - Neuronal signaling"	"Cluster 53: Neurons - Mixed function"	"Cluster 37: Non-specific - mRNA processing"	"Cluster 65: Neurons - Synaptic function"	2			"HPA010739: AB_2204753"								"unprognostic (1.44e-1)"														"unprognostic (1.20e-2)"								"unprognostic (9.55e-3)"	
TRPC5	PPP1R159	ENSG00000072315	"Transient receptor potential cation channel subfamily C member 5"	Q9UL62	X	111768011-112082776	"Predicted membrane proteins, Transporters, Voltage-gated ion channels"	"Calcium transport, Ion transport, Transport"	"Calcium channel, Ion channel"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"brain: 1.4"	"Group enriched"	"Detected in some"	6	"Excitatory neurons: 44.6;Inhibitory neurons: 75.7;Oligodendrocytes: 35.6"	"Cell type enhanced"	"Detected in all"		"cerebellar inhibitory: 372.8;midbrain-derived inhibitory: 346.7"	"Cancer enriched"	"Detected in single"	9	"Thyroid Carcinoma (TCGA): 8.0"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Liver - Hepatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"										NA	NA				"Cluster 61: Brain - Neuronal signaling"	"Cluster 1: Neurons - Mixed function"	"Cluster 16: Thyroid cancer - Neuronal signaling"	"Cluster 8: Neurons - Neuronal signaling"	3											"unprognostic (8.15e-3)"																						"unprognostic (1.41e-2)"	
UCMA	"C10orf49, GRP"	ENSG00000165623	"Upper zone of growth plate and cartilage matrix associated"	Q8WVF2	10	13221766-13234374	"Predicted secreted proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"brain: 2.5"	"Cell type enriched"	"Detected in some"	68	"Oocytes: 127.2"	"Cell type enriched"	"Detected in single"	10	"deep-layer intratelencephalic: 1.6"	"Cancer enhanced"	"Detected in single"		"Uterine Corpus Endometrial Carcinoma (TCGA): 1.3"	"Group enriched"	"Detected in some"	18	"amygdala: 2.1;cerebral cortex: 4.2"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"				"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA046718	Uncertain				"Secreted to extracellular matrix"	"No annotated function"	NA	NA		9100		"Cluster 64: Neuronal - Transcription"	"Cluster 51: Neurons - Mixed function"	"Cluster 55: Lymphoma - Immune response"	"Cluster 44: Oocytes - Unknown function"				"HPA046718: AB_2679771"																															"unprognostic (2.25e-1)"
VAX1		ENSG00000148704	"Ventral anterior homeobox 1"	Q5SQQ9	10	117128521-117138301	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Developmental protein, DNA-binding"	"Disease variant, Microphthalmia"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	9	"brain: 4.8"	"Cell type enriched"	"Detected in some"	5	"Inhibitory neurons: 7.1"	"Cell type enhanced"	"Detected in some"		"CGE interneuron: 7.1;eccentric medium spiny neuron: 11.8;MGE interneuron: 14.7"	"Cancer enhanced"	"Detected in some"		"Uterine Corpus Endometrial Carcinoma (TCGA): 1.8"	"Region enhanced"	"Detected in many"		"hypothalamus: 18.0"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	7	"Bone cancer: 16.7"		"Group enriched"	"Detected in some"	6	"basal ganglia: 5.6;hypothalamus: 3.2;olfactory bulb: 1.5"	"Low region specificity"	"Detected in many"			HPA028946	Uncertain		Approved	"Nucleoplasm,Nucleoli rim"			Yes	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 12: Bone cancer - Neuronal signaling"	"Cluster 69: Neurons - Neuronal signaling"		"Nucleoli rim"	Nucleoplasm	"HPA028946: AB_10602679"																											"unprognostic (1.67e-1)"				"unprognostic (1.22e-1)"
WNT1	INT1	ENSG00000125084	"Wnt family member 1"	P04628	12	48978322-48982620	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted secreted proteins"	"Wnt signaling pathway"	"Developmental protein"	"Cancer-related genes, Disease variant, Osteogenesis imperfecta, Osteoporosis, Proto-oncogene"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"brain: 1.8"	"Cell type enhanced"	"Detected in some"		"Extravillous trophoblasts: 4.4;Langerhans cells: 2.3;NK-cells: 2.9;Spermatocytes: 4.9;Spermatogonia: 3.5;T-cells: 4.3"	"Cell type enhanced"	"Detected in single"		"leukocyte: 2.2"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Group enriched"	"Detected in some"	8	"gdT-cell: 3.1;MAIT T-cell: 5.1;memory CD4 T-cell: 2.0;memory CD8 T-cell: 2.9;naive CD8 T-cell: 2.1"	"Lineage enriched"	"Detected in single"	32	"T-cells: 5.1"	"Cancer enriched"	"Detected in single"	26	"ovarian cancer: 10.0"	"Prostate - T-cells, Thyroid gland - T-cells"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in some"								"Secreted to extracellular matrix"	"Developmental protein"	NA	NA			"Cluster 1: T-cells - Unknown function"	"Cluster 5: Brain & Testis - Signal transduction"	"Cluster 33: Neurons - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 78: NK-cells & T-cells - Immune system & Transcription"																																			
